normalized_text,fdc_id,description,replaces,reason
egg,171287,"Egg, whole, raw, fresh","Eggnog","bare ""egg"" in a recipe is a whole egg; embedding similarity picked a beverage"
milk,746782,"Milk, whole, 3.25% milkfat, with added vitamin D","Crackers, milk","a cracker is not a dairy liquid; lexical overlap on the word ""milk"""
flour,169761,"Wheat flour, white, all-purpose, unenriched","Millet flour","unqualified ""flour"" is wheat flour by convention, not millet"
sugar,746784,"Sugars, granulated","Sugars, powdered","unqualified ""sugar"" is granulated (200 g/cup); powdered is ~100 g/cup, a 45% mass error"
pepper,170931,"Spices, pepper, black","Peppermint, fresh","peppermint is a herb, not pepper; ""pepper"" is not a whole word in ""peppermint"""
cinnamon,171320,"Spices, cinnamon, ground","Bread, cinnamon","the spice, not a bread that contains it"
nutmeg,171326,"Spices, nutmeg, ground","Oil, nutmeg butter","the spice, not a derived oil the line never asked for"
potato,170026,"Potatoes, flesh and skin, raw","Bread, potato","the vegetable, not a bread that contains it"
soda,175040,"Leavening agents, baking soda","Carbonated beverage, cream soda","in a recipe ingredient list ""soda"" is baking soda; the beverage is named explicitly when meant"
mushroom,169251,"Mushrooms, white, raw","Mushroom, oyster","white/button is the default culinary mushroom; oyster is a named variety"
margarine,172346,"Margarine, regular, 80% fat, composite, stick, with salt","Margarine-like, margarine-butter blend, soybean oil and butter","plain margarine, not a butter blend"
sour cream,171257,"Cream, sour, cultured","Sour cream, light","unqualified means regular, not the reduced-fat variant"
baking powder,172803,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate","Leavening agents, baking powder, low-sodium","double-acting is the standard retail product; low-sodium is a named variant"
